,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2
894,biscuits and breakfast cereals,Wafer biscuit. plain or vanilla flavoured. prepacked,545.0,1.0,4.45,61.7,30.8,37.8,0.0,0.0,0.0,0.0,0.0,24.0,1.24,0.0,0.78,0.0,0.0,26.4,2.44,0.65,0.005,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
895,biscuits and breakfast cereals,Wafer biscuit. with fruits,365.0,9.32,4.43,82.4,1.58,41.7,0.0,0.0,0.0,0.0,0.0,24.4,1.66,0.0,0.6,0.0,0.0,0.75,0.27,0.29,0.005,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
896,biscuits and breakfast cereals,Wafer cookie,523.0,2.47,5.29,63.0,27.5,38.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.73,0.0,0.0,17.5,7.45,2.1,0.0,0.0,0.28,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,biscuits and breakfast cereals,Wafer cookie. with chocolate. prepacked,498.0,0.0,5.91,67.9,21.8,39.3,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,1.41,0.0,0.0,13.5,5.9,1.45,0.0056,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
898,biscuits and breakfast cereals,Biscuit (cookie). sponge fingers or Lady fingers,388.0,6.3,7.98,79.9,3.77,47.9,0.0,0.0,0.0,0.0,0.0,24.3,1.37,0.0,0.66,0.0,0.0,0.99,1.23,0.77,0.023,109.0,0.41,25.5,0.1,1.0,1.1,10.0,14.3,1.0,107.0,109.0,3.0,161.0,1.0,7.8,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.05,0.6,0.05,9.6,0.36,0.0,0.0,0.0,0.2,0.9,0.0,0.0
899,biscuits and breakfast cereals,Biscuit (cookie). cat tongue type,434.0,2.98,5.66,77.9,10.7,40.3,0.0,0.0,0.0,0.0,0.0,36.9,1.86,0.0,0.9,0.0,0.0,6.85,2.66,0.74,0.01,67.0,0.57,21.8,360.0,0.12,0.6,2.0,15.4,0.4,84.0,135.0,2.0,229.0,0.3,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.092,0.99,0.31,0.14,41.0,0.08,0.5,0.0,0.0,0.5,1.1,0.0,0.0
900,biscuits and breakfast cereals,Meringue,396.0,0.9,4.08,94.2,0.5,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.29,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.16,4.15,0.0,0.03,0.18,2.0,4.76,0.01,20.6,89.8,3.0,64.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.24,0.1,0.16,0.01,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901,biscuits and breakfast cereals,Biscuit (cookie). thin. w almonds,465.0,2.63,7.93,68.1,17.2,39.2,0.0,0.0,0.0,0.0,0.0,28.9,2.9,0.0,1.25,0.0,0.0,6.68,7.65,2.72,0.0017,94.0,0.23,50.0,0.0,0.22,1.15,2.9,36.7,0.76,195.0,226.0,2.02,90.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.089,1.07,0.36,0.07,17.4,0.045,0.02,0.0,0.0,0.18,3.36,0.0,0.0
902,biscuits and breakfast cereals,Biscuit (cookie). thin. w fruits,384.0,0.0,5.43,74.9,8.28,26.9,0.0,0.0,0.0,0.0,0.0,0.0,7.14,16.4,0.7,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0
903,biscuits and breakfast cereals,Biscuit puff pastry,519.0,2.49,6.1,60.5,27.6,21.6,0.0,0.0,0.0,0.0,0.0,38.9,2.06,0.0,1.29,0.0,0.0,14.4,9.49,2.92,0.005,11.7,1.01,16.7,0.0,0.1,0.4,3.0,14.6,0.3,57.6,91.2,5.0,400.0,0.4,26.5,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.052,0.75,0.29,0.24,34.7,0.08,0.0,0.0,0.0,0.92,2.07,0.0,0.0
904,biscuits and breakfast cereals,Biscuit ( puff pastry). palmier. from bakery,501.0,6.12,5.93,53.1,28.2,21.8,0.0,0.0,0.0,0.0,0.0,24.7,5.3,0.0,1.32,0.0,0.0,14.4,8.4,2.06,0.0,28.0,1.16,15.6,0.9,1.0,0.58,10.0,11.5,1.0,54.0,83.5,10.7,463.0,1.0,47.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.2,0.32,0.08,11.5,0.43,0.0,0.0,0.0,0.2,3.2,0.0,0.0
905,biscuits and breakfast cereals,Biscuit sponge cake with fruits covering. pre-packed,359.0,12.8,4.54,77.1,3.24,54.2,0.0,0.0,0.0,0.0,0.0,21.5,1.48,0.0,0.84,0.0,0.0,0.78,1.3,1.01,0.0045,64.3,0.28,51.3,0.0,0.17,1.65,5.0,49.1,0.58,65.8,395.0,10.0,111.0,0.61,14.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.077,0.26,0.5,0.077,26.0,0.22,1.0,0.0,0.0,0.5,0.9,0.0,0.0
906,biscuits and breakfast cereals,Biscuit (small tart). with fruit covering,436.0,6.84,4.7,71.3,14.2,32.7,0.0,0.0,0.0,0.0,0.0,30.1,2.27,0.0,0.69,0.0,0.0,7.98,4.75,1.34,0.005,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,biscuits and breakfast cereals,Soft cake. filled with fruit paste or fruit puree and sugar icing coated,354.0,13.3,4.25,79.3,1.92,52.9,0.0,0.0,0.0,0.0,0.0,25.9,1.0,0.0,0.24,0.0,0.0,0.86,0.55,0.33,0.0,18.4,0.015,0.0,0.0,0.11,0.7,11.0,10.1,0.25,55.0,81.0,5.0,5.9,0.4,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.051,0.59,0.28,0.52,26.0,0.08,1.0,0.0,0.0,0.5,0.7,0.0,0.0
