,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2
1087,cooked meat,pork shoulder cooked,253.0,54.7,30.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,5.56,7.12,1.46,0.0,104.0,0.12,18.0,0.0,0.12,1.58,0.0,20.0,0.026000000000000002,195.0,318.0,16.0,46.4,4.23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.3,4.26,0.65,0.34,5.0,0.58,0.6,0.0,0.0,1.0,0.25,0.0,0.0
1088,cooked meat,pork chop grilled,242.0,60.4,25.9,0.01,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,9.01,4.57,1.06,0.0,81.5,0.15,18.4,61.0,0.065,0.84,5.0,32.1,0.0082,233.0,413.0,10.0,59.6,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.27,5.32,0.0,0.35,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,cooked meat,pork round steak cooked,266.0,48.6,36.9,0.01,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,1.7,0.0,0.0,0.0,244.0,444.0,21.0,72.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,cooked meat,pork rack cooked,206.0,57.5,34.1,0.6,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,3.03,3.52,0.67,0.0,76.3,0.09699999999999999,0.0,0.0,0.0,0.89,0.0,0.0,0.0,226.0,402.0,12.4,38.8,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.18,0.0,0.0,0.29,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,cooked meat,pork tenderloin roast cooked,198.0,59.7,28.3,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.16,5.5,0.1,0.09,1.29,5.0,32.5,0.013000000000000001,281.0,436.0,0.0,61.0,2.69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.39,8.06,0.55,0.4,27.1,0.79,1.0,0.0,0.0,0.5,0.08,0.0,0.0
1092,cooked meat,pork filet mignon cooked,168.0,0.0,26.1,0.01,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,2.58,2.41,0.73,0.0,78.6,0.13,7.27,0.0,0.0,1.1,0.0,24.6,0.0,219.0,344.0,10.1,50.4,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.22,6.99,0.0,0.32,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,cooked meat,pork meat cooked (average),214.0,59.8,28.0,0.24,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,5.1,4.09,0.88,0.0,77.8,0.12,13.5,0.0,0.069,0.92,3.78,29.4,0.013999999999999999,216.0,361.0,10.9,47.8,2.4,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.23,5.95,0.65,0.34,5.76,0.62,0.28,0.0,0.0,0.55,0.16,0.0,0.0
1094,cooked meat,pork roast cooked,163.0,63.8,30.5,0.65,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,1.32,1.6,0.31,0.0039,65.5,0.081,6.97,0.0,0.054000000000000006,0.64,3.1,32.6,0.0095,204.0,330.0,14.0,32.3,1.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.16,6.63,0.67,0.34,0.0,0.33,0.0,0.0,0.0,0.5,0.11,0.0,0.0
1095,cooked meat,pork  spare ribs  braised,333.0,49.4,23.1,0.13,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,10.7,12.1,2.55,0.0,98.1,0.12,30.4,61.0,0.11,1.2,5.0,18.0,0.1,149.0,226.0,5.0,48.8,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.18,4.22,0.45,0.2,21.9,0.67,0.56,0.0,0.0,0.5,0.34,0.0,0.0
1096,cooked meat,pork loin roasted/baked,295.0,51.5,26.2,0.1,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,5.74,0.0,0.0,58.4,0.15,18.0,0.0,0.059000000000000004,1.09,5.0,28.0,0.016,213.0,425.0,39.1,58.0,4.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.24,5.65,0.78,0.38,1.0,0.88,0.6,0.0,0.0,0.7,0.2,0.0,0.0
