,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2,ME_CLASSIFIED
471,biscuits and breakfast cereals,biscuit (cookie) snack with dairy or vanilla filling,477.0,2.19,5.36,71.2,18.6,34.7,0.0,0.0,0.0,0.0,0.0,32.6,1.83,0.0,0.82,0.0,0.0,10.7,5.49,1.61,0.005,3.1,0.56,20.6,308.0,1.0,1.0,10.0,12.9,1.0,77.0,96.5,3.0,222.0,1.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.05,0.3,0.05,7.4,0.31,0.0,0.0,0.0,0.2,1.1,0.0,0.0,BAD
472,biscuits and breakfast cereals,biscuit (cookie) snack w chocolate filling,468.0,2.33,6.7,67.9,18.0,29.8,0.0,0.0,0.0,0.0,0.0,38.1,3.77,0.0,1.25,0.0,0.0,9.92,5.85,1.67,0.0035,2.2,0.62,120.0,0.26,0.39,3.3,24.0,47.3,0.61,117.0,190.0,2.2,246.0,0.92,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.073,0.69,0.29,0.13,28.0,0.08,1.0,0.0,0.0,0.5,3.0,0.0,0.0,BAD
473,biscuits and breakfast cereals,biscuit (cookie) snack with fruits filling,484.0,0.99,6.64,73.3,17.4,31.6,0.0,0.0,0.0,0.0,0.0,41.8,3.35,0.0,1.24,0.0,0.0,9.68,2.21,0.66,0.005,0.5,0.5,240.0,243.0,0.0,4.5,0.0,120.0,0.0,300.0,80.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,BAD
474,biscuits and breakfast cereals,wafer biscuit filled with nuts (hazelnut almond praline etc ) with chocolate or not prepacked,512.0,2.31,7.31,59.6,26.4,37.4,0.0,0.0,0.0,0.0,0.0,15.3,3.21,0.0,1.11,0.0,0.0,17.7,5.02,1.38,0.005,10.1,0.34,20.1,194.0,1.0,6.8,10.0,47.3,1.0,122.0,263.0,3.0,134.0,1.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.2,0.51,0.06,11.8,0.54,0.0,0.0,0.0,0.2,2.1,0.0,0.0,GOOD
475,biscuits and breakfast cereals,wafer cookie,523.0,2.47,5.29,63.0,27.5,38.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.73,0.0,0.0,17.5,7.45,2.1,0.0,0.0,0.28,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAD
476,biscuits and breakfast cereals,wafer cookie with chocolate prepacked,498.0,0.0,5.91,67.9,21.8,39.3,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,1.41,0.0,0.0,13.5,5.9,1.45,0.0056,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAD
477,biscuits and breakfast cereals,biscuit (cookie) sponge fingers or lady fingers,388.0,6.3,7.98,79.9,3.77,47.9,0.0,0.0,0.0,0.0,0.0,24.3,1.37,0.0,0.66,0.0,0.0,0.99,1.23,0.77,0.023,109.0,0.41,25.5,0.1,1.0,1.1,10.0,14.3,1.0,107.0,109.0,3.0,161.0,1.0,7.8,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.05,0.6,0.05,9.6,0.36,0.0,0.0,0.0,0.2,0.9,0.0,0.0,BAD
478,biscuits and breakfast cereals,biscuit (cookie) cat tongue type,434.0,2.98,5.66,77.9,10.7,40.3,0.0,0.0,0.0,0.0,0.0,36.9,1.86,0.0,0.9,0.0,0.0,6.85,2.66,0.74,0.01,67.0,0.57,21.8,360.0,0.12,0.6,2.0,15.4,0.4,84.0,135.0,2.0,229.0,0.3,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.092,0.99,0.31,0.14,41.0,0.08,0.5,0.0,0.0,0.5,1.1,0.0,0.0,BAD
479,biscuits and breakfast cereals,biscuit (cookie) thin w almonds,465.0,2.63,7.93,68.1,17.2,39.2,0.0,0.0,0.0,0.0,0.0,28.9,2.9,0.0,1.25,0.0,0.0,6.68,7.65,2.72,0.0017,94.0,0.23,50.0,0.0,0.22,1.15,2.9,36.7,0.76,195.0,226.0,2.02,90.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.08900000000000001,1.07,0.36,0.07,17.4,0.045,0.02,0.0,0.0,0.18,3.36,0.0,0.0,BAD
480,biscuits and breakfast cereals,biscuit (cookie) thin w fruits,384.0,0.0,5.43,74.9,8.28,26.9,0.0,0.0,0.0,0.0,0.0,0.0,7.14,16.4,0.7,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,BAD
